year,gistemp
1880,-0.178
1881,-0.0885
1882,-0.0972
1883,-0.182
1884,-0.2851
1885,-0.3073
1886,-0.3144
1887,-0.3435
1888,-0.1733
1889,-0.1032
1890,-0.3642
1891,-0.2278
1892,-0.2553
1893,-0.3059
1894,-0.302
1895,-0.2179
1896,-0.1058
1897,-0.1088
1898,-0.2741
1899,-0.1761
1900,-0.0845
1901,-0.1459
1902,-0.295
1903,-0.3844
1904,-0.4856
1905,-0.2786
1906,-0.2158
1907,-0.3861
1908,-0.4257
1909,-0.4656
1910,-0.4235
1911,-0.4246
1912,-0.3482
1913,-0.3457
1914,-0.1496
1915,-0.1145
1916,-0.3206
1917,-0.4314
1918,-0.2766
1919,-0.26
1920,-0.248
1921,-0.1676
1922,-0.2639
1923,-0.2374
1924,-0.2474
1925,-0.199
1926,-0.0823
1927,-0.1957
1928,-0.1842
1929,-0.3389
1930,-0.1374
1931,-0.0987
1932,-0.1621
1933,-0.2921
1934,-0.1325
1935,-0.2019
1936,-0.1576
1937,-0.0373
1938,-0.0302
1939,-0.027
1940,0.1166
1941,0.1814
1942,0.0532
1943,0.0705
1944,0.2071
1945,0.086
1946,-0.0737
1947,-0.0409
1948,-0.1086
1949,-0.1112
1950,-0.1854
1951,-0.0672
1952,0.0056
1953,0.0668
1954,-0.1482
1955,-0.1475
1956,-0.2078
1957,0.04
1958,0.0663
1959,0.024
1960,-0.0227
1961,0.0544
1962,0.0389
1963,0.0694
1964,-0.196
1965,-0.1026
1966,-0.0464
1967,-0.0191
1968,-0.0738
1969,0.0682
1970,0.0327
1971,-0.0893
1972,0.015
1973,0.1615
1974,-0.0809
1975,-0.0136
1976,-0.1054
1977,0.1734
1978,0.0674
1979,0.1624
1980,0.2745
1981,0.3326
1982,0.1369
1983,0.3163
1984,0.1665
1985,0.1224
1986,0.1874
1987,0.3376
1988,0.4119
1989,0.2949
1990,0.4437
1991,0.4169
1992,0.2261
1993,0.2447
1994,0.3157
1995,0.4513
1996,0.3407
1997,0.4718
1998,0.6289
1999,0.4049
2000,0.4082
2001,0.5412
2002,0.6297
2003,0.6138
2004,0.5416
2005,0.6783
2006,0.6252
2007,0.6448
2008,0.5226
2009,0.6401
2010,0.7054
2011,0.5881
2012,0.6209
2013,0.6504
2014,0.7372
2015,0.8706
2016,0.9967
2017,0.9074
2018,0.8333
2018,0.8333
